Jogador,Time,Gols
Paulinho,Atletico-MG,18
L. Suárez,Gremio,17
Tiquinho Soares,Botafogo,17
Hulk,Atletico-MG,15
Marcos Leonardo,Santos,13
Pedro,Flamengo,13
Vitor Roque,Atletico Paranaense,12
Deyverson,Cuiaba,12
Robson,Coritiba,12
Endrick,Palmeiras,11
G. Mastriani,America Mineiro,11
Eduardo Sasha,RB Bragantino,11
G. Cano,Fluminense,10
P. Vegetti,Vasco DA Gama,10
T. Borbas,RB Bragantino,9
Raphael Veiga,Palmeiras,9
E. Valencia,Internacional,9
Luciano,Sao Paulo,9
Everaldo,Bahia,9
J. Calleri,Sao Paulo,9
